subject_category	predicate	object_category	count
biolink:SmallMolecule	biolink:treats_or_applied_or_studied_to_treat	biolink:Disease	346
biolink:SmallMolecule	biolink:treats	biolink:Disease	323
biolink:SmallMolecule	biolink:in_clinical_trials_for	biolink:Disease	195
biolink:ChemicalEntity	biolink:treats_or_applied_or_studied_to_treat	biolink:Disease	128
biolink:ChemicalEntity	biolink:treats	biolink:Disease	118
biolink:Drug	biolink:treats_or_applied_or_studied_to_treat	biolink:Disease	109
biolink:Drug	biolink:treats	biolink:Disease	66
biolink:MolecularMixture	biolink:treats	biolink:Disease	56
biolink:MolecularMixture	biolink:treats_or_applied_or_studied_to_treat	biolink:Disease	55
biolink:ChemicalEntity	biolink:in_clinical_trials_for	biolink:Disease	46
biolink:MolecularMixture	biolink:in_clinical_trials_for	biolink:Disease	36
biolink:SmallMolecule	biolink:applied_to_treat	biolink:Disease	22
biolink:OrganismTaxon	biolink:applied_to_treat	biolink:Disease	20
biolink:OrganismTaxon	biolink:treats	biolink:Disease	20
biolink:SmallMolecule	biolink:preventative_for_condition	biolink:Disease	18
biolink:Protein	biolink:treats_or_applied_or_studied_to_treat	biolink:Disease	12
biolink:ChemicalEntity	biolink:applied_to_treat	biolink:Disease	12
biolink:Disease	biolink:subclass_of	biolink:Disease	11
biolink:SmallMolecule	biolink:studied_to_treat	biolink:Disease	10
biolink:ChemicalEntity	biolink:preventative_for_condition	biolink:Disease	9
biolink:Protein	biolink:treats	biolink:Disease	9
biolink:Food	biolink:applied_to_treat	biolink:Disease	8
biolink:MolecularMixture	biolink:applied_to_treat	biolink:Disease	8
biolink:Food	biolink:treats	biolink:Disease	7
biolink:ComplexMolecularMixture	biolink:treats_or_applied_or_studied_to_treat	biolink:Disease	6
biolink:Disease	biolink:has_phenotype	biolink:Disease	5
biolink:ComplexMolecularMixture	biolink:treats	biolink:Disease	4
biolink:Drug	biolink:preventative_for_condition	biolink:Disease	3
biolink:MolecularMixture	biolink:preventative_for_condition	biolink:Disease	1
biolink:Protein	biolink:applied_to_treat	biolink:Disease	1
biolink:Polypeptide	biolink:treats_or_applied_or_studied_to_treat	biolink:Disease	1
biolink:Polypeptide	biolink:treats	biolink:Disease	1
